algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_NTRU_HPS_2048_677,25.047665,24.293477,0.020622,1.493622,0.020622
P384_NTRU_HPS_2048_677,22.030200,20.885489,0.019556,1.472847,0.019556
P384_NTRU_HPS_2048_677,22.109252,21.190721,0.025120,1.659946,0.025120
P384_NTRU_HPS_2048_677,27.246005,25.219586,0.020422,2.550957,0.020422
P384_NTRU_HPS_2048_677,24.978510,23.152892,0.018834,1.509985,0.018834
P384_NTRU_HPS_2048_677,25.633436,24.772494,0.045442,1.965605,0.045442
P384_NTRU_HPS_2048_677,21.229200,20.299440,0.029109,1.611605,0.029109
P384_NTRU_HPS_2048_677,22.790289,21.944932,0.022114,1.599051,0.022114
P384_NTRU_HPS_2048_677,26.951023,25.079146,0.023686,1.513442,0.023686
P384_NTRU_HPS_2048_677,19.052923,18.026448,0.009923,0.452813,0.009923
P384_NTRU_HPS_2048_677,23.967731,23.133526,0.021770,1.666821,0.021770
P384_NTRU_HPS_2048_677,22.917385,22.071634,0.017215,1.464282,0.017215
P384_NTRU_HPS_2048_677,28.182214,27.428013,0.023397,1.367847,0.023397
P384_NTRU_HPS_2048_677,23.130816,22.318199,0.018345,1.547425,0.018345
P384_NTRU_HPS_2048_677,24.543832,23.744441,0.016891,1.484031,0.016891
P384_NTRU_HPS_2048_677,22.801321,21.977664,0.023372,1.514339,0.023372
P384_NTRU_HPS_2048_677,21.224804,20.501682,0.020452,1.458578,0.020452
P384_NTRU_HPS_2048_677,26.155132,25.081266,0.022203,1.510124,0.022203
P384_NTRU_HPS_2048_677,25.601149,24.868563,0.040110,1.472020,0.040110
P384_NTRU_HPS_2048_677,27.535308,25.145589,0.019255,1.474104,0.019255
P384_NTRU_HPS_2048_677,22.144937,21.337825,0.023030,1.389759,0.023030
P384_NTRU_HPS_2048_677,24.063351,23.183572,0.018025,1.493629,0.018025
P384_NTRU_HPS_2048_677,26.265340,24.601925,0.035814,1.443393,0.035814
P384_NTRU_HPS_2048_677,15.996701,15.088798,0.010462,0.500762,0.010462
P384_NTRU_HPS_2048_677,27.701466,25.928892,0.020839,1.725127,0.020839
P384_NTRU_HPS_2048_677,23.915844,22.989672,0.022826,1.489545,0.022826
P384_NTRU_HPS_2048_677,23.667405,22.753101,0.032337,1.492338,0.032337
P384_NTRU_HPS_2048_677,26.833936,25.162768,0.019626,1.577166,0.019626
P384_NTRU_HPS_2048_677,23.527926,22.747700,0.018526,1.590771,0.018526
P384_NTRU_HPS_2048_677,17.872852,16.994061,0.017518,1.568730,0.017518
P384_NTRU_HPS_2048_677,23.401316,22.448068,0.022828,1.695823,0.022828
P384_NTRU_HPS_2048_677,24.470184,23.642292,0.018765,1.426882,0.018765
P384_NTRU_HPS_2048_677,20.764651,19.686930,0.021574,1.380637,0.021574
P384_NTRU_HPS_2048_677,24.996657,23.886835,0.036133,1.572816,0.036133
P384_NTRU_HPS_2048_677,27.480415,25.145654,0.019669,1.481779,0.019669
P384_NTRU_HPS_2048_677,25.727113,24.621224,0.018907,1.347449,0.018907
P384_NTRU_HPS_2048_677,22.764246,21.971040,0.016632,1.416235,0.016632
P384_NTRU_HPS_2048_677,33.236283,31.270255,0.018373,1.363446,0.018373
P384_NTRU_HPS_2048_677,24.283040,23.517954,0.019830,1.694133,0.019830
P384_NTRU_HPS_2048_677,23.840993,23.111429,0.018318,1.655521,0.018318
P384_NTRU_HPS_2048_677,26.428690,24.924852,0.034445,1.450091,0.034445
P384_NTRU_HPS_2048_677,33.498844,32.451676,0.016941,1.483315,0.016941
P384_NTRU_HPS_2048_677,28.717233,26.238909,0.018995,2.186789,0.018995
P384_NTRU_HPS_2048_677,21.550771,20.401717,0.016558,1.354280,0.016558
P384_NTRU_HPS_2048_677,21.293895,20.389378,0.042778,1.527681,0.042778
P384_NTRU_HPS_2048_677,42.921815,41.034307,0.034133,1.459329,0.034133
P384_NTRU_HPS_2048_677,23.115140,22.103591,0.018879,1.664369,0.018879
P384_NTRU_HPS_2048_677,34.871947,33.981835,0.019126,1.597477,0.019126
P384_NTRU_HPS_2048_677,26.767603,25.809661,0.023358,1.387105,0.023358
P384_NTRU_HPS_2048_677,27.634669,26.747347,0.035726,1.533368,0.035726
P384_NTRU_HPS_2048_677,22.093640,21.406054,0.017732,1.527408,0.017732
P384_NTRU_HPS_2048_677,26.404489,25.488614,0.024095,1.498872,0.024095
P384_NTRU_HPS_2048_677,26.915637,26.079392,0.022417,1.365674,0.022417
P384_NTRU_HPS_2048_677,14.960244,13.839790,0.010575,0.426979,0.010575
P384_NTRU_HPS_2048_677,29.637475,28.725074,0.021325,1.487823,0.021325
P384_NTRU_HPS_2048_677,26.844385,26.008120,0.019577,1.590703,0.019577
P384_NTRU_HPS_2048_677,20.996938,20.079902,0.017163,1.461905,0.017163
P384_NTRU_HPS_2048_677,23.244969,22.395451,0.016837,1.462027,0.016837
P384_NTRU_HPS_2048_677,32.908911,31.988497,0.017922,1.898819,0.017922
P384_NTRU_HPS_2048_677,31.419065,30.500744,0.019390,1.489325,0.019390
P384_NTRU_HPS_2048_677,22.686039,21.867311,0.035134,1.466822,0.035134
P384_NTRU_HPS_2048_677,26.935081,26.104051,0.019369,1.370472,0.019369
P384_NTRU_HPS_2048_677,24.980969,23.936297,0.017126,1.497791,0.017126
P384_NTRU_HPS_2048_677,17.497371,16.632674,0.018622,1.685160,0.018622
P384_NTRU_HPS_2048_677,26.425918,25.570500,0.019973,1.530368,0.019973
P384_NTRU_HPS_2048_677,23.616899,22.744908,0.019280,1.662581,0.019280
P384_NTRU_HPS_2048_677,19.860362,18.967347,0.021050,1.543221,0.021050
P384_NTRU_HPS_2048_677,24.864850,23.781313,0.027134,1.686261,0.027134
P384_NTRU_HPS_2048_677,23.525468,22.645639,0.018683,1.407597,0.018683
P384_NTRU_HPS_2048_677,24.702942,22.908726,0.018741,1.454431,0.018741
P384_NTRU_HPS_2048_677,28.109692,26.715682,0.017676,1.428748,0.017676
P384_NTRU_HPS_2048_677,26.910106,24.898547,0.019818,1.732257,0.019818
P384_NTRU_HPS_2048_677,24.769313,23.752548,0.032449,1.472843,0.032449
P384_NTRU_HPS_2048_677,24.103561,23.233508,0.019482,1.513814,0.019482
P384_NTRU_HPS_2048_677,22.461463,20.111382,0.017804,1.444449,0.017804
P384_NTRU_HPS_2048_677,24.822942,22.919736,0.038344,1.599199,0.038344
P384_NTRU_HPS_2048_677,25.738015,23.856115,0.019016,1.372815,0.019016
P384_NTRU_HPS_2048_677,27.193737,26.350893,0.035952,1.628271,0.035952
P384_NTRU_HPS_2048_677,25.299437,24.457454,0.017647,1.486605,0.017647
P384_NTRU_HPS_2048_677,26.955582,25.178404,0.018324,1.463506,0.018324
P384_NTRU_HPS_2048_677,21.603827,20.859278,0.029026,1.484052,0.029026
P384_NTRU_HPS_2048_677,23.204923,22.454556,0.020007,2.029524,0.020007
P384_NTRU_HPS_2048_677,21.208729,20.261496,0.016777,1.361021,0.016777
P384_NTRU_HPS_2048_677,27.186471,26.362132,0.021921,1.635358,0.021921
P384_NTRU_HPS_2048_677,17.504566,16.561579,0.009392,0.500960,0.009392
P384_NTRU_HPS_2048_677,22.933918,21.998820,0.017877,1.474509,0.017877
P384_NTRU_HPS_2048_677,21.926233,21.010297,0.029930,2.047602,0.029930
P384_NTRU_HPS_2048_677,24.768007,23.315689,0.020459,1.407146,0.020459
P384_NTRU_HPS_2048_677,27.203933,26.274752,0.020766,1.533789,0.020766
P384_NTRU_HPS_2048_677,23.154490,22.087405,0.019880,1.367607,0.019880
P384_NTRU_HPS_2048_677,30.096188,28.442069,0.018483,1.374605,0.018483
P384_NTRU_HPS_2048_677,27.184694,25.754274,0.016839,1.446318,0.016839
P384_NTRU_HPS_2048_677,25.182055,24.389327,0.023722,1.586217,0.023722
P384_NTRU_HPS_2048_677,23.201832,22.375931,0.032611,1.535592,0.032611
P384_NTRU_HPS_2048_677,21.354931,20.436995,0.017832,1.519514,0.017832
P384_NTRU_HPS_2048_677,27.576612,26.659433,0.019539,1.463526,0.019539
P384_NTRU_HPS_2048_677,28.402039,25.816738,0.032879,1.469685,0.032879
P384_NTRU_HPS_2048_677,26.639301,25.296757,0.019515,1.490594,0.019515
P384_NTRU_HPS_2048_677,22.614679,21.758689,0.019098,1.566043,0.019098
P384_NTRU_HPS_2048_677,23.231123,20.983658,0.022208,1.763073,0.022208
P384_NTRU_HPS_2048_677,21.627052,20.145788,0.016897,1.337726,0.016897
P384_NTRU_HPS_2048_677,22.163219,21.134543,0.029765,1.464910,0.029765
P384_NTRU_HPS_2048_677,26.457806,24.435873,0.026655,1.390566,0.026655
P384_NTRU_HPS_2048_677,31.134679,29.346612,0.023298,1.575599,0.023298
P384_NTRU_HPS_2048_677,20.237546,19.446491,0.019583,1.624628,0.019583
P384_NTRU_HPS_2048_677,25.458201,23.408953,0.018174,1.569196,0.018174
P384_NTRU_HPS_2048_677,18.623008,17.631637,0.020247,1.515414,0.020247
P384_NTRU_HPS_2048_677,23.630803,21.980175,0.026460,1.572291,0.026460
P384_NTRU_HPS_2048_677,22.109697,21.151147,0.020693,1.427706,0.020693
P384_NTRU_HPS_2048_677,23.618824,22.715326,0.018027,1.503110,0.018027
P384_NTRU_HPS_2048_677,26.887560,25.185110,0.024761,1.666667,0.024761
P384_NTRU_HPS_2048_677,23.212192,22.364244,0.021330,1.418947,0.021330
P384_NTRU_HPS_2048_677,24.856559,24.038886,0.017010,1.636525,0.017010
P384_NTRU_HPS_2048_677,22.560097,21.694395,0.018103,1.641658,0.018103
P384_NTRU_HPS_2048_677,16.157940,15.207945,0.006823,0.431759,0.006823
P384_NTRU_HPS_2048_677,19.603669,18.019897,0.008947,0.575659,0.008947
P384_NTRU_HPS_2048_677,34.363032,33.581545,0.034737,1.578399,0.034737
P384_NTRU_HPS_2048_677,20.930625,20.086444,0.022012,1.784281,0.022012
P384_NTRU_HPS_2048_677,25.501567,24.671025,0.026471,2.071438,0.026471
P384_NTRU_HPS_2048_677,24.713567,23.367689,0.017139,1.369666,0.017139
P384_NTRU_HPS_2048_677,30.146730,28.623385,0.024547,1.410029,0.024547
P384_NTRU_HPS_2048_677,28.053884,26.241150,0.016891,1.351631,0.016891
P384_NTRU_HPS_2048_677,28.539580,26.053996,0.017419,1.955709,0.017419
P384_NTRU_HPS_2048_677,27.775351,26.097776,0.018669,1.511924,0.018669
P384_NTRU_HPS_2048_677,26.582827,25.063807,0.018836,1.605152,0.018836
P384_NTRU_HPS_2048_677,25.093363,22.908144,0.020225,1.592711,0.020225
P384_NTRU_HPS_2048_677,27.132898,25.540228,0.024223,1.460453,0.024223
P384_NTRU_HPS_2048_677,21.109724,20.270822,0.033984,1.561503,0.033984
P384_NTRU_HPS_2048_677,21.772241,20.720124,0.021158,1.507529,0.021158
P384_NTRU_HPS_2048_677,30.952719,29.619176,0.017270,1.468115,0.017270
P384_NTRU_HPS_2048_677,23.724472,22.269696,0.018842,1.529298,0.018842
P384_NTRU_HPS_2048_677,24.135449,23.325504,0.040797,1.621027,0.040797
P384_NTRU_HPS_2048_677,25.207007,24.313241,0.019145,1.525060,0.019145
P384_NTRU_HPS_2048_677,24.066264,23.251503,0.023788,1.549709,0.023788
P384_NTRU_HPS_2048_677,21.108975,20.344042,0.017109,1.426135,0.017109
P384_NTRU_HPS_2048_677,21.608759,20.599106,0.022700,1.642345,0.022700
P384_NTRU_HPS_2048_677,25.213677,24.465822,0.028415,1.946484,0.028415
P384_NTRU_HPS_2048_677,27.116565,26.260973,0.029236,1.625655,0.029236
P384_NTRU_HPS_2048_677,27.097320,24.754038,0.019339,1.372276,0.019339
P384_NTRU_HPS_2048_677,23.322003,22.458357,0.018888,1.665966,0.018888
P384_NTRU_HPS_2048_677,27.634832,25.225117,0.023857,1.365716,0.023857
P384_NTRU_HPS_2048_677,22.931422,22.086870,0.016482,1.521114,0.016482
P384_NTRU_HPS_2048_677,23.108115,22.267835,0.016808,1.544763,0.016808
P384_NTRU_HPS_2048_677,23.118838,22.310662,0.018360,1.517749,0.018360
P384_NTRU_HPS_2048_677,26.945050,26.021278,0.022689,1.630529,0.022689
P384_NTRU_HPS_2048_677,16.950297,16.096181,0.013459,0.551117,0.013459
P384_NTRU_HPS_2048_677,25.284790,24.460994,0.019093,1.527377,0.019093
P384_NTRU_HPS_2048_677,27.180289,26.347902,0.018613,1.346227,0.018613
P384_NTRU_HPS_2048_677,27.144985,25.329771,0.018008,1.387924,0.018008
P384_NTRU_HPS_2048_677,27.520429,26.620530,0.029439,1.453327,0.029439
P384_NTRU_HPS_2048_677,21.471871,20.567350,0.018582,1.459920,0.018582
P384_NTRU_HPS_2048_677,22.548337,21.367240,0.038311,1.619030,0.038311
P384_NTRU_HPS_2048_677,24.078965,23.261787,0.019840,1.477405,0.019840
P384_NTRU_HPS_2048_677,22.034873,20.986603,0.020300,1.584697,0.020300
P384_NTRU_HPS_2048_677,20.895042,19.957860,0.017224,1.379841,0.017224
P384_NTRU_HPS_2048_677,24.184902,23.354044,0.018637,1.572880,0.018637
P384_NTRU_HPS_2048_677,21.378283,20.455554,0.022954,1.632677,0.022954
P384_NTRU_HPS_2048_677,22.656109,21.672293,0.020087,1.550834,0.020087
P384_NTRU_HPS_2048_677,21.722502,20.876126,0.019125,1.626340,0.019125
P384_NTRU_HPS_2048_677,20.453865,19.641658,0.020402,1.539131,0.020402
P384_NTRU_HPS_2048_677,23.273159,22.277100,0.040928,1.540850,0.040928
P384_NTRU_HPS_2048_677,20.807512,20.100426,0.020985,1.510201,0.020985
P384_NTRU_HPS_2048_677,28.888956,27.301135,0.022254,1.497494,0.022254
P384_NTRU_HPS_2048_677,24.471694,22.090538,0.016641,1.964589,0.016641
P384_NTRU_HPS_2048_677,25.794410,25.022762,0.019659,1.496312,0.019659
P384_NTRU_HPS_2048_677,31.476273,30.060015,0.019907,1.544122,0.019907
P384_NTRU_HPS_2048_677,22.103601,21.214276,0.020577,1.598240,0.020577
P384_NTRU_HPS_2048_677,23.992226,23.077960,0.038028,1.578840,0.038028
P384_NTRU_HPS_2048_677,25.534624,24.719766,0.032743,1.609106,0.032743
P384_NTRU_HPS_2048_677,25.252328,23.477495,0.017047,1.439363,0.017047
P384_NTRU_HPS_2048_677,30.608904,28.958095,0.016740,1.478835,0.016740
P384_NTRU_HPS_2048_677,23.140255,21.599510,0.016928,1.355688,0.016928
P384_NTRU_HPS_2048_677,26.597537,25.673863,0.020133,1.513061,0.020133
P384_NTRU_HPS_2048_677,27.358701,26.473346,0.027518,1.614972,0.027518
P384_NTRU_HPS_2048_677,26.854072,25.181296,0.020459,1.467974,0.020459
P384_NTRU_HPS_2048_677,15.544518,14.553573,0.007131,0.496158,0.007131
P384_NTRU_HPS_2048_677,18.735374,17.801148,0.012095,0.539957,0.012095
