algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_NTRU_HRSS_701,22.891892,22.106649,0.018734,1.508699,0.018734
P384_NTRU_HRSS_701,14.695134,13.760425,0.011292,0.479518,0.011292
P384_NTRU_HRSS_701,26.575476,25.751160,0.032701,1.537814,0.032701
P384_NTRU_HRSS_701,18.077766,17.257653,0.023612,1.557341,0.023612
P384_NTRU_HRSS_701,24.897231,24.004498,0.026705,1.777566,0.026705
P384_NTRU_HRSS_701,23.613160,21.288582,0.018681,1.876020,0.018681
P384_NTRU_HRSS_701,26.428559,25.593702,0.018543,1.527843,0.018543
P384_NTRU_HRSS_701,25.474912,24.535705,0.022443,1.611109,0.022443
P384_NTRU_HRSS_701,26.504176,25.679964,0.019127,1.532737,0.019127
P384_NTRU_HRSS_701,26.615277,25.839451,0.022785,1.550795,0.022785
P384_NTRU_HRSS_701,29.383213,26.932216,0.037474,1.550085,0.037474
P384_NTRU_HRSS_701,24.011076,23.249533,0.025311,1.588945,0.025311
P384_NTRU_HRSS_701,23.124359,22.123488,0.029577,1.598449,0.029577
P384_NTRU_HRSS_701,20.749217,19.931625,0.018335,1.562909,0.018335
P384_NTRU_HRSS_701,27.113084,25.991791,0.024384,1.537340,0.024384
P384_NTRU_HRSS_701,23.585661,22.734702,0.050357,1.615971,0.050357
P384_NTRU_HRSS_701,21.102818,20.232611,0.043093,1.635896,0.043093
P384_NTRU_HRSS_701,25.694621,24.808942,0.033874,1.590226,0.033874
P384_NTRU_HRSS_701,23.017424,22.104884,0.020887,1.536872,0.020887
P384_NTRU_HRSS_701,23.076379,21.767455,0.023811,1.605228,0.023811
P384_NTRU_HRSS_701,30.334481,28.319855,0.021871,1.455190,0.021871
P384_NTRU_HRSS_701,25.718566,24.897159,0.022821,1.489698,0.022821
P384_NTRU_HRSS_701,27.319605,26.503072,0.022817,1.635136,0.022817
P384_NTRU_HRSS_701,27.449498,25.489430,0.032190,1.752066,0.032190
P384_NTRU_HRSS_701,27.648043,26.755655,0.040851,1.584598,0.040851
P384_NTRU_HRSS_701,26.281822,25.376841,0.018908,1.388784,0.018908
P384_NTRU_HRSS_701,22.028903,20.990341,0.020415,1.664834,0.020415
P384_NTRU_HRSS_701,23.333213,22.463498,0.025144,1.558757,0.025144
P384_NTRU_HRSS_701,24.039720,22.286636,0.021448,1.541152,0.021448
P384_NTRU_HRSS_701,20.884771,20.054905,0.034475,1.491119,0.034475
P384_NTRU_HRSS_701,19.935541,19.177909,0.019589,1.635605,0.019589
P384_NTRU_HRSS_701,19.954502,18.532568,0.012859,0.496281,0.012859
P384_NTRU_HRSS_701,16.875886,15.914647,0.019141,0.680698,0.019141
P384_NTRU_HRSS_701,23.264635,22.450934,0.020139,1.867861,0.020139
P384_NTRU_HRSS_701,26.229320,23.923492,0.019998,1.623645,0.019998
P384_NTRU_HRSS_701,21.141714,20.339005,0.020429,1.336336,0.020429
P384_NTRU_HRSS_701,18.211264,17.382454,0.018621,1.504249,0.018621
