algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,303.022272,0.017484,0.274819
P256,302.825896,0.014444,0.262296
P256,304.558818,0.016175,0.232607
P256,304.736097,0.015693,2.157932
P256,305.601578,0.018035,0.261976
P256,303.862477,0.017929,0.976356
P256,304.638217,0.013880,0.273419
P256,302.931424,0.015108,0.285671
P256,302.995170,0.016229,0.260951
P256,304.548639,0.016573,0.241927
P256,302.723616,0.018840,0.253008
P256,304.542614,0.018186,1.375656
P256,304.958355,0.016267,0.256659
P256,304.935343,0.017322,0.863219
P256,304.378825,0.016395,0.238199
P256,303.895177,0.013593,0.977347
P256,304.810772,0.015190,0.246554
P256,307.097299,0.016421,0.264295
P256,304.179594,0.017068,0.229117
P256,305.292808,0.016368,0.240314
P256,304.575034,0.014108,1.940051
P256,305.087451,0.018984,0.317584
P256,306.209591,0.014868,0.237293
P256,302.891014,0.017020,0.232428
P256,305.349127,0.014610,0.702481
P256,302.882100,0.016650,0.248177
P256,304.896841,0.016145,0.261576
P256,304.751033,0.018926,0.247286
P256,302.891244,0.017052,0.260654
P256,305.080509,0.017229,0.255163
P256,303.918333,0.017009,0.255148
P256,302.879968,0.018724,0.240197
P256,303.809565,0.014328,0.911858
P256,303.013720,0.013849,0.253307
P256,304.523713,0.016342,0.233283
P256,304.585295,0.015004,0.254971
P256,304.460973,0.018575,1.695014
P256,304.882621,0.016411,0.266038
P256,304.423680,0.015697,1.465262
P256,303.654030,0.014362,0.896696
P256,303.072623,0.017308,0.298058
P256,306.677250,0.016660,0.237484
P256,303.849453,0.016315,0.242560
P256,303.356034,0.018603,0.458179
P256,304.565405,0.014750,0.317005
P256,306.771723,0.016299,0.256588
P256,304.366732,0.015953,0.232879
P256,303.927127,0.014955,1.183713
P256,305.297020,0.017423,0.229891
P256,306.566749,0.015244,0.235146
P256,304.646263,0.016240,0.271991
P256,304.737116,0.016103,0.273189
P256,306.988076,0.016333,0.260301
P256,302.994742,0.018344,0.274824
P256,302.831037,0.016521,0.260365
P256,304.506751,0.016351,0.291652
P256,302.905504,0.018629,0.267450
P256,304.134323,0.021343,0.965607
P256,304.309987,0.016334,0.238984
P256,304.192829,0.018645,1.230323
P256,306.207105,0.018143,0.237679
P256,306.587260,0.017510,2.096562
P256,302.857087,0.016992,0.279240
P256,304.726006,0.015817,0.254367
P256,304.789623,0.016122,0.232929
P256,306.661065,0.014298,1.836584
P256,302.813749,0.018619,0.265102
P256,304.702355,0.017447,0.279973
P256,304.630435,0.017169,0.220509
P256,305.281990,0.011358,0.236382
P256,304.667768,0.019737,0.283457
P256,305.528357,0.038315,0.241468
P256,304.709359,0.016484,0.257629
P256,305.868369,0.012789,1.040331
P256,304.697258,0.016438,0.230012
P256,304.474127,0.015445,0.237468
P256,302.925314,0.016018,0.259208
P256,302.618742,0.017828,0.271325
P256,302.935750,0.016102,0.263685
P256,304.627999,0.016836,0.246715
P256,304.841819,0.013797,1.851828
P256,304.897328,0.018507,1.889569
P256,303.883902,0.014433,1.173901
P256,304.134514,0.014653,0.250203
P256,306.094003,0.015279,0.237934
P256,302.878630,0.014417,0.267129
P256,306.529397,0.016006,0.224272
P256,304.224070,0.017258,1.306071
P256,306.154558,0.018675,1.290672
P256,306.824897,0.020178,0.233101
P256,304.897921,0.016257,0.240028
P256,303.053567,0.015299,0.248264
P256,304.988507,0.016588,0.233304
P256,304.891717,0.016187,0.262256
P256,305.997034,0.021022,1.139038
P256,303.128327,0.020194,0.258528
P256,306.719602,0.016914,0.239245
P256,302.773347,0.016349,0.222589
P256,304.308210,0.015941,0.229054
P256,305.199210,0.017513,0.307311
P256,306.969810,0.016559,0.253471
P256,304.771886,0.012545,0.248843
P256,304.517146,0.016218,1.755747
P256,304.614818,0.015440,0.242757
P256,304.931793,0.016042,0.223812
P256,303.253082,0.014274,0.217073
P256,303.038109,0.017379,0.264934
P256,303.126859,0.017927,0.453552
P256,305.666214,0.015803,0.922813
P256,302.566782,0.010998,0.247998
P256,303.068554,0.017066,0.219791
P256,302.808122,0.016885,0.219340
P256,305.881752,0.013357,0.957856
P256,305.429208,0.017190,0.237404
P256,306.831881,0.015388,0.238273
P256,306.341623,0.019467,1.936047
P256,304.541443,0.014542,0.203256
P256,304.688059,0.015109,0.238210
P256,306.122316,0.014949,0.237937
P256,306.635658,0.017207,1.360515
P256,304.274171,0.015787,0.258962
P256,302.710383,0.015937,0.281541
P256,306.184130,0.018753,1.321070
P256,304.426142,0.013735,1.564650
P256,304.161607,0.016409,1.242076
P256,305.173335,0.016131,0.264391
P256,302.725288,0.017329,0.240253
P256,305.401273,0.016601,0.263953
P256,306.767536,0.010211,0.239819
P256,303.820318,0.016405,0.977680
P256,302.830430,0.017640,0.257413
P256,304.998804,0.018976,0.812294
P256,303.109317,0.016244,0.255102
P256,306.597773,0.015950,0.249581
P256,306.299772,0.013636,1.357707
P256,302.775264,0.014360,0.245184
P256,302.819683,0.015022,0.297902
P256,306.244013,0.016192,0.252650
P256,302.736724,0.015564,0.206920
P256,303.056740,0.015017,0.676735
P256,304.744053,0.015365,0.238933
P256,307.053805,0.016802,0.242022
P256,304.758267,0.016343,0.232668
P256,302.925334,0.014340,0.230211
P256,304.793858,0.016333,0.260515
P256,304.457902,0.016147,0.261996
P256,303.399869,0.021274,0.533827
P256,304.445646,0.013752,1.752138
P256,302.830582,0.016846,0.238445
P256,307.079021,0.016534,0.239313
P256,306.647602,0.016116,0.240768
P256,302.903989,0.016171,0.240681
P256,302.816958,0.016778,0.273309
P256,306.641939,0.016571,0.254144
P256,306.941094,0.016336,0.237337
P256,303.680771,0.016804,0.852226
P256,304.206152,0.015098,0.225797
P256,304.208609,0.016895,1.177029
P256,304.703857,0.017707,0.258251
P256,303.126525,0.012961,0.290172
P256,302.830401,0.017271,0.303068
P256,302.772502,0.018211,0.240683
P256,303.988061,0.016350,1.197580
P256,304.631683,0.017463,0.248175
P256,304.630980,0.015480,0.255863
P256,304.058239,0.014945,0.996908
P256,306.057386,0.013893,1.244232
P256,306.604773,0.016339,0.253007
P256,304.731403,0.018519,2.027297
P256,302.907355,0.015326,0.273988
P256,306.341222,0.016539,0.232548
P256,307.125428,0.016380,0.239263
P256,305.914058,0.015198,0.235856
P256,304.368085,0.014876,0.272088
P256,305.105105,0.016342,0.257799
P256,304.942047,0.015988,1.835910
P256,303.401114,0.013761,0.249348
P256,305.248830,0.015401,0.271978
P256,305.276709,0.015188,0.280498
P256,306.941947,0.016667,0.252818
P256,303.850015,0.015744,0.945103
P256,304.739351,0.016117,0.237558
P256,306.735578,0.016245,0.235586
P256,303.000349,0.015958,0.254207
P256,305.140795,0.016533,0.258601
P256,306.187074,0.014504,0.271176
P256,302.959578,0.015298,0.233834
P256,306.990882,0.015979,0.303139
P256,304.859790,0.019399,0.258990
P256,305.031720,0.016187,0.234961
P256,304.579955,0.015020,0.302558
P256,302.991876,0.015429,0.263986
P256,302.814232,0.016592,0.247983
P256,302.965552,0.018571,0.241206
P256,304.475267,0.014220,0.264098
P256,303.114493,0.044467,0.251475
P256,304.536111,0.016291,0.235579
P256,306.153812,0.014173,1.755424
P256,304.669931,0.015034,0.252497
P256,304.562323,0.013938,1.793735
P256,307.780344,0.016165,0.262011
P256,308.451703,0.015097,0.903090
P256,302.800554,0.012866,0.216572
P256,304.877843,0.017604,0.309539
P256,304.638134,0.015156,0.238416
P256,302.832450,0.017849,0.299368
P256,305.255238,0.018547,0.921039
P256,305.561218,0.017656,1.567220
P256,304.070868,0.012834,0.237219
P256,303.531953,0.015148,1.110308
P256,302.956662,0.017050,0.232382
P256,302.826618,0.013986,0.236165
P256,302.963375,0.016250,0.254126
P256,305.600062,0.016477,0.232777
P256,304.376870,0.015398,0.258222
P256,306.636656,0.016243,0.261082
P256,306.888990,0.016644,0.234207
P256,304.325748,0.017727,0.242022
P256,302.834818,0.017421,0.254665
P256,305.248882,0.016263,0.232367
P256,306.883561,0.016211,0.257162
P256,304.912718,0.011390,0.263786
P256,302.739475,0.015087,0.234688
P256,307.112751,0.015278,0.283085
P256,305.894214,0.018004,1.285803
P256,305.168259,0.016050,0.240114
P256,307.181822,0.016298,0.256789
P256,304.844591,0.016380,0.236139
P256,304.198385,0.018772,1.261920
P256,307.050705,0.015101,0.279303
P256,302.928860,0.013480,0.286118
P256,304.371102,0.016319,0.261390
P256,303.970664,0.013873,1.216505
P256,304.511387,0.016103,0.233978
P256,302.781703,0.013285,0.276920
P256,303.010693,0.016039,0.260856
P256,306.412231,0.018029,0.258820
P256,302.890272,0.015777,0.270126
P256,302.943928,0.016226,0.250911
P256,304.909522,0.015997,0.234482
P256,304.712734,0.015775,0.249566
P256,304.996828,0.014958,0.255834
P256,302.958420,0.015707,0.270427
P256,307.375475,0.015845,0.257352
P256,305.062424,0.017224,0.267451
P256,304.467670,0.015368,0.264655
P256,305.173849,0.016422,0.223659
P256,305.510973,0.017377,1.194152
P256,302.941658,0.013883,0.248118
P256,304.701426,0.013290,0.244380
P256,303.056643,0.012751,0.261115
P256,306.353287,0.015853,1.983581
P256,303.281250,0.014830,0.253585
P256,302.650964,0.022644,0.220590
P256,304.869492,0.016294,0.256087
P256,303.178786,0.022581,0.269393
P256,304.786790,0.015119,1.920638
P256,306.280163,0.018656,1.189313
P256,303.136583,0.017989,0.289018
P256,305.924916,0.015156,0.232906
P256,304.691061,0.015211,0.252780
P256,304.909978,0.016260,0.236534
P256,304.641819,0.013897,0.277639
P256,303.909201,0.015508,1.305176
P256,302.841529,0.015764,0.248862
P256,304.001110,0.015642,1.199721
P256,303.077147,0.017018,0.248812
P256,304.917112,0.014311,0.241744
P256,304.361824,0.014349,0.236016
P256,306.371548,0.015398,0.241297
P256,304.236503,0.021163,1.210383
P256,302.621376,0.017167,0.282832
P256,303.009500,0.015634,0.250699
P256,303.911167,0.019846,0.946059
P256,303.923384,0.015283,1.283442
P256,304.621619,0.016256,0.252457
P256,305.483195,0.017057,0.235621
P256,305.207977,0.016407,0.262520
P256,304.066262,0.018796,1.251327
P256,305.352269,0.015892,0.235863
P256,302.533646,0.013718,0.258285
P256,303.094840,0.015859,0.201916
P256,302.943273,0.012763,0.231139
P256,304.617875,0.015007,0.236283
P256,302.884746,0.015754,0.271516
P256,304.081956,0.016937,1.080259
P256,303.052237,0.015383,0.260428
P256,304.885831,0.012878,0.237279
P256,302.620931,0.013928,0.219700
P256,305.069988,0.016379,0.236636
P256,302.999025,0.016361,0.298955
P256,304.394034,0.015959,0.232524
P256,305.939155,0.014883,1.220727
P256,306.988167,0.016256,0.251501
P256,302.786375,0.012518,0.240128
P256,305.975074,0.017499,1.228900
P256,304.802550,0.016838,0.251593
P256,302.738756,0.017529,0.260732
P256,303.855731,0.016126,1.185296
P256,303.825894,0.015858,0.234051
P256,305.319713,0.015198,0.281073
P256,306.894670,0.015127,0.236943
P256,304.726796,0.016356,0.234052
P256,304.718152,0.016906,0.290680
P256,302.976529,0.013199,0.273967
P256,302.678652,0.014756,0.266428
P256,302.849329,0.015098,0.276642
P256,302.860298,0.015711,0.238098
P256,307.654437,0.019292,0.237252
P256,304.733617,0.015042,0.229964
P256,302.779299,0.017348,0.232344
P256,304.697249,0.016048,0.235785
P256,305.329680,0.018914,0.239677
P256,302.685358,0.014366,0.262368
P256,305.017485,0.015139,0.238055
