algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,2.881431,0.005662,0.097323
P256,3.565543,0.005875,0.655185
P256,3.344979,0.005945,0.075780
P256,3.097545,0.005618,0.267514
P256,2.948626,0.005592,0.101800
P256,3.619611,0.003889,0.101185
P256,2.899287,0.005632,0.093212
P256,3.668133,0.007813,0.882547
P256,3.573451,0.005859,0.099178
P256,3.276544,0.006307,0.363011
P256,3.234363,0.005813,0.365257
P256,4.024555,0.022109,0.102785
P256,3.015840,0.005950,0.100591
P256,3.140175,0.005611,0.287311
P256,2.868628,0.004887,0.075254
P256,3.293124,0.005782,0.091231
P256,2.947368,0.005441,0.078713
P256,3.503479,0.005252,0.088519
P256,3.409232,0.005668,0.550491
P256,2.936216,0.005401,0.110017
P256,2.915540,0.005910,0.077926
P256,3.513249,0.005004,0.083695
P256,2.983377,0.005541,0.087000
P256,2.975935,0.006005,0.080409
P256,3.748837,0.003714,0.087186
P256,4.226731,0.005382,0.081888
P256,2.914421,0.005676,0.079639
P256,3.032574,0.005114,0.083651
P256,2.896716,0.005608,0.072068
P256,2.928200,0.006854,0.084854
P256,3.180844,0.005265,0.085930
P256,3.559270,0.005574,0.084752
P256,2.896755,0.005025,0.086553
P256,2.917070,0.005860,0.081707
P256,3.711938,0.005746,0.302453
P256,3.019583,0.006879,0.174447
P256,2.925639,0.005260,0.079357
P256,3.574941,0.005743,0.085351
P256,2.968232,0.005947,0.095620
P256,3.222925,0.005422,0.354481
P256,2.906261,0.005510,0.095803
P256,2.922490,0.005775,0.093807
P256,3.560758,0.005544,0.081559
P256,2.912227,0.005420,0.077673
P256,3.431119,0.006194,0.562672
P256,3.776657,0.003957,0.081165
P256,3.687408,0.005970,0.172107
P256,2.882224,0.005585,0.086503
P256,3.740200,0.006733,0.416908
P256,3.108086,0.006058,0.443243
P256,3.935458,0.006255,0.280439
P256,3.587648,0.005412,0.083295
P256,3.006555,0.005513,0.077938
P256,2.968294,0.005691,0.104248
P256,3.851918,0.006717,0.097891
P256,3.916153,0.007203,0.578254
P256,3.719682,0.007391,0.109435
P256,3.320777,0.006796,0.483929
P256,3.349606,0.005624,0.369033
P256,4.033941,0.006163,0.084426
P256,3.197043,0.007462,0.256110
P256,3.969145,0.007319,0.099780
P256,3.061998,0.005165,0.094628
P256,4.275660,0.005686,0.085706
P256,3.219350,0.006718,0.352788
P256,3.347576,0.005402,0.436853
P256,3.401473,0.005653,0.095670
P256,2.875592,0.006535,0.078169
P256,3.586303,0.006054,0.070397
P256,3.055953,0.005784,0.272569
P256,3.380164,0.020345,0.463871
P256,4.126925,0.005481,0.086559
P256,4.495818,0.004234,0.076998
P256,3.488997,0.005427,0.101425
P256,2.916359,0.007577,0.079784
P256,3.438126,0.006727,0.088454
P256,2.979409,0.005297,0.084593
P256,2.897820,0.005615,0.087166
P256,4.002957,0.005504,0.087295
P256,2.908667,0.005644,0.079304
P256,2.871534,0.006000,0.073608
P256,3.075167,0.005748,0.078104
P256,2.954708,0.007661,0.083894
P256,2.873059,0.005773,0.078932
P256,3.312451,0.005974,0.075459
P256,3.568873,0.005098,0.081491
P256,3.336880,0.006030,0.385319
P256,4.161549,0.005573,0.080586
P256,3.620486,0.005914,0.097221
P256,2.954247,0.006991,0.085479
P256,3.861135,0.007962,0.296353
P256,3.541635,0.005599,0.107194
P256,3.459823,0.006813,0.200393
P256,3.342078,0.005489,0.102637
P256,3.563781,0.004001,0.100583
P256,3.183129,0.006360,0.276408
P256,3.636290,0.007799,0.246674
P256,3.479112,0.005597,0.085780
P256,3.410178,0.005892,0.521618
P256,2.900754,0.005272,0.073763
P256,3.772305,0.006074,0.369572
P256,2.954634,0.005767,0.077828
P256,3.518475,0.007033,0.285095
P256,2.934981,0.005905,0.072950
P256,2.911762,0.005837,0.074410
P256,3.094695,0.006562,0.245573
P256,3.443381,0.005340,0.084007
P256,4.077980,0.005982,0.084902
P256,2.912186,0.007165,0.075357
P256,3.832346,0.005356,0.085819
P256,3.893182,0.006694,0.426524
P256,2.948574,0.005611,0.084722
P256,3.477194,0.005644,0.620950
P256,3.178154,0.006153,0.310122
P256,3.391226,0.005833,0.087858
P256,3.429708,0.020389,0.564380
P256,3.346937,0.005159,0.103304
P256,3.441508,0.003688,0.079376
P256,3.625098,0.005974,0.076800
P256,3.332554,0.005280,0.089986
P256,3.510905,0.019370,0.101150
P256,3.274542,0.006048,0.385845
P256,2.928539,0.005026,0.076057
P256,2.926559,0.005751,0.103339
P256,2.975025,0.005060,0.083317
P256,2.923641,0.005836,0.088222
P256,2.893572,0.006058,0.087610
P256,3.364705,0.005958,0.091274
P256,3.006572,0.005248,0.159103
P256,3.204551,0.005811,0.357042
P256,2.890324,0.005929,0.070380
P256,3.967367,0.005733,0.364887
P256,3.417550,0.007506,0.556559
P256,3.073348,0.005343,0.098462
P256,4.028620,0.007667,0.084664
P256,2.908330,0.005727,0.084016
P256,2.905976,0.005851,0.083933
P256,3.393554,0.005550,0.084600
P256,2.987824,0.005778,0.086491
P256,4.083243,0.005932,0.083007
P256,3.815628,0.005111,0.077995
P256,2.898175,0.005383,0.075765
P256,3.169375,0.006323,0.306750
P256,3.339101,0.005254,0.079385
P256,3.336219,0.005660,0.424659
P256,2.925876,0.007241,0.090121
P256,3.029052,0.005596,0.072316
P256,3.374941,0.005760,0.083373
P256,3.725825,0.006452,0.467836
P256,3.244827,0.005826,0.285471
P256,4.046372,0.003783,0.101666
P256,3.615681,0.008971,0.629722
P256,3.432886,0.005457,0.072991
P256,3.288208,0.006359,0.083362
P256,3.338003,0.006472,0.463372
P256,2.947726,0.005819,0.083798
P256,3.983369,0.006319,0.277830
P256,4.234452,0.006654,0.084744
P256,3.561870,0.005429,0.088388
P256,3.456648,0.011580,0.509977
P256,2.978358,0.005639,0.100763
P256,4.289985,0.005565,0.082105
P256,3.358689,0.005358,0.097573
P256,3.573920,0.010312,0.098655
P256,3.152626,0.005680,0.255738
P256,3.482859,0.004877,0.085723
P256,3.347705,0.006896,0.084887
P256,3.394577,0.006290,0.080090
P256,3.501235,0.006134,0.070268
P256,2.898662,0.005689,0.089693
P256,3.379833,0.005531,0.075065
P256,3.413602,0.006857,0.463679
P256,3.244924,0.004655,0.290617
P256,3.879770,0.005630,0.084855
P256,3.670872,0.021093,0.077945
P256,2.912555,0.006156,0.077655
