algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,0.870276,0.003825,0.091848
P256,1.443314,0.005591,0.090396
P256,1.259735,0.003444,0.093564
P256,1.342889,0.003896,0.104971
P256,0.964004,0.003728,0.107770
P256,0.870577,0.004412,0.085231
P256,1.415999,0.004912,0.082768
P256,0.904931,0.003915,0.101208
P256,1.296798,0.003984,0.099376
P256,0.875029,0.004926,0.091014
P256,0.843532,0.004329,0.090092
P256,0.907432,0.003772,0.082634
P256,1.442551,0.003656,0.166254
P256,0.864211,0.004531,0.091481
P256,1.393175,0.006229,0.096491
P256,1.335500,0.003807,0.110826
P256,0.869275,0.004341,0.089827
P256,0.863896,0.004059,0.085899
P256,0.876454,0.004268,0.101226
P256,1.305907,0.004459,0.101008
P256,1.881523,0.004060,0.110621
P256,0.891084,0.003651,0.085256
P256,1.201073,0.004044,0.435306
P256,1.984346,0.005590,0.097570
P256,2.089257,0.003906,0.094303
P256,1.965771,0.005440,0.104075
P256,1.374924,0.003665,0.092646
P256,1.437557,0.020060,0.655688
P256,0.871437,0.003862,0.101782
P256,0.842336,0.004658,0.100789
P256,1.466863,0.004152,0.115954
P256,1.296894,0.004095,0.095812
P256,0.873668,0.003980,0.085636
P256,0.851616,0.003865,0.082327
P256,0.855677,0.004107,0.093692
P256,0.855449,0.004282,0.094981
P256,1.409395,0.004527,0.092390
P256,1.534349,0.005657,0.131184
P256,0.938438,0.004112,0.085141
P256,1.755004,0.003655,0.128472
P256,0.867662,0.004244,0.093193
P256,1.775514,0.003627,0.094034
P256,0.813012,0.004091,0.120372
P256,0.906238,0.006458,0.087716
P256,0.902009,0.004354,0.087680
P256,2.019130,0.004129,0.106037
P256,0.905737,0.003334,0.119304
P256,1.769499,0.004674,0.482892
P256,0.874058,0.004093,0.100992
P256,0.876320,0.003920,0.095061
P256,1.365455,0.004839,0.092880
P256,0.852517,0.003802,0.084144
P256,1.378180,0.003896,0.110741
P256,0.877414,0.003434,0.098769
P256,1.600132,0.003994,0.092170
P256,1.687246,0.004266,0.092276
P256,0.852215,0.004807,0.093382
P256,1.854432,0.004603,0.093662
P256,1.475488,0.003684,0.100803
P256,2.161444,0.004055,0.085365
P256,0.874707,0.004194,0.098163
P256,1.088397,0.003915,0.097401
P256,2.234549,0.004013,0.118735
P256,0.916956,0.005692,0.106276
P256,1.915384,0.004795,0.126771
P256,0.846689,0.003886,0.083429
P256,1.244488,0.004636,0.494728
P256,1.839098,0.005389,0.086326
P256,1.624443,0.005340,0.112722
P256,1.376668,0.004783,0.111458
P256,1.311085,0.006117,0.083281
P256,0.866511,0.004875,0.083226
P256,1.703849,0.004049,0.082139
P256,1.919511,0.005416,0.107406
P256,1.008724,0.003776,0.082582
P256,1.654586,0.006643,0.345192
P256,0.849879,0.003814,0.082190
P256,1.439944,0.004813,0.106785
P256,1.364490,0.003729,0.093936
P256,0.944545,0.004017,0.096160
P256,0.863963,0.004751,0.104011
P256,0.830266,0.006032,0.087924
P256,1.182107,0.007719,0.303272
P256,0.927467,0.003897,0.078588
P256,0.890264,0.003692,0.095708
P256,0.885677,0.003875,0.090985
P256,2.312768,0.004049,0.128185
P256,1.898378,0.004526,0.115286
P256,2.075260,0.004408,0.095783
P256,1.635572,0.004081,0.102562
P256,1.324722,0.004758,0.085989
P256,0.893826,0.004308,0.090289
P256,1.338087,0.004930,0.081967
P256,1.597817,0.003664,0.100867
P256,1.529343,0.003623,0.096668
P256,2.014778,0.004038,0.248294
P256,1.472050,0.004026,0.104637
P256,1.407438,0.003982,0.093484
P256,0.858625,0.004259,0.088445
