algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,103.883612,0.014262,0.226715
P256,102.674348,0.014312,0.268106
P256,106.859504,0.013591,0.229378
P256,105.089047,0.017942,0.255300
P256,102.368082,0.014395,0.259255
P256,104.080688,0.014888,0.856491
P256,102.395492,0.016271,0.250131
P256,106.374381,0.017318,1.639318
P256,103.709428,0.017350,1.088531
P256,104.203407,0.017856,1.246513
P256,105.619787,0.013775,0.240201
P256,102.375289,0.013623,0.281626
P256,106.236475,0.015486,0.231883
P256,104.223410,0.016245,1.370942
P256,104.159705,0.014672,0.244551
P256,104.930332,0.010246,0.230225
P256,104.035793,0.013327,0.232058
P256,102.688846,0.016125,0.222620
P256,102.583902,0.013317,0.277295
P256,106.382676,0.014938,0.232055
P256,102.601054,0.012524,0.262367
P256,105.358391,0.011231,0.237688
P256,102.793887,0.016511,0.223265
P256,102.914927,0.017680,0.314180
P256,102.803014,0.014098,0.247978
P256,102.716991,0.016032,0.266378
P256,102.338074,0.012692,0.250128
P256,102.243548,0.014187,0.253857
P256,102.467804,0.015008,0.281177
P256,104.063285,0.013817,0.233215
P256,104.684673,0.014575,0.230222
P256,102.499569,0.014953,0.265656
P256,104.361389,0.014253,0.223857
P256,102.769833,0.013053,0.254714
P256,104.343705,0.014717,0.232922
P256,102.586328,0.015429,0.269013
P256,102.467886,0.017614,0.270337
P256,104.162624,0.016036,0.237037
P256,102.576700,0.015743,0.242731
P256,104.110351,0.014665,0.255408
P256,105.342320,0.013206,0.235658
P256,106.919294,0.016033,0.235999
P256,104.480297,0.011705,2.130990
P256,102.224298,0.014416,0.260266
P256,104.582830,0.015021,0.317094
P256,104.241760,0.015604,0.303171
P256,102.510247,0.013808,0.245017
P256,102.605923,0.013108,0.228234
P256,102.801064,0.011772,0.237245
P256,104.293566,0.014254,0.239990
P256,105.937146,0.014321,0.234110
P256,102.487566,0.014009,0.260546
P256,102.517376,0.013841,0.239628
P256,104.914103,0.015117,0.233203
P256,103.178775,0.013505,0.591177
P256,106.045540,0.012141,1.390646
P256,105.148276,0.015867,0.238970
P256,104.088531,0.014031,0.253534
P256,102.748256,0.014863,0.282661
P256,106.259673,0.015168,0.257800
P256,102.322205,0.014138,0.251095
P256,102.471142,0.019036,0.263984
P256,105.140953,0.016459,0.256136
P256,103.200165,0.014219,0.855903
P256,104.399765,0.014386,0.263434
P256,106.163355,0.016599,0.263770
P256,106.702860,0.015470,0.216320
P256,102.569276,0.016071,0.228250
P256,104.058490,0.014164,0.302503
P256,103.829640,0.014496,0.275915
P256,103.898284,0.013669,0.252817
P256,104.414478,0.016525,0.298979
P256,104.435867,0.013302,0.237576
P256,104.757094,0.016282,0.238059
P256,107.008279,0.014582,2.034301
P256,102.632559,0.013676,0.233036
P256,103.902657,0.014025,0.220082
P256,102.812652,0.016093,0.234504
P256,104.669241,0.011195,0.261603
P256,102.458739,0.014078,0.260627
P256,104.716470,0.010389,0.254285
P256,104.508253,0.015117,0.259361
P256,104.654586,0.014608,0.287749
