algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,97.601967,0.010180,0.210882
P256,98.250194,0.011470,0.197553
P256,96.771115,0.008880,0.166352
P256,97.947690,0.008971,0.167112
P256,97.062320,0.010140,0.204902
P256,97.257410,0.010130,0.159752
P256,96.840827,0.009020,0.186472
P256,96.981130,0.009140,0.153462
P256,97.678218,0.008070,0.184412
P256,97.076328,0.010430,0.173292
P256,97.699877,0.009240,0.173182
P256,98.047859,0.008950,0.185481
P256,97.955846,0.009550,0.186232
P256,97.853281,0.007750,0.174152
P256,97.387311,0.009740,0.199182
P256,98.868006,0.007600,0.205692
P256,97.942850,0.008500,0.175622
P256,98.168167,0.009590,0.137952
P256,96.739754,0.010040,0.202142
P256,97.920476,0.209422,0.197202
P256,97.276071,0.010280,0.205232
P256,97.038935,0.010580,0.193182
P256,97.704985,0.008620,0.176742
P256,96.889698,0.009300,0.189142
P256,97.297080,0.010010,0.187502
P256,97.659374,0.009820,0.283072
P256,98.526635,0.006980,0.184552
P256,98.024578,0.008351,0.164171
P256,97.455693,0.009990,0.405754
P256,98.130111,0.008641,0.193493
P256,97.035088,0.009010,0.229241
P256,96.752034,0.008290,0.158582
P256,97.628795,0.009350,0.172941
P256,97.353432,0.009380,0.163822
P256,98.880331,0.009720,0.165292
P256,98.220262,0.010230,0.206592
P256,97.011530,0.007710,0.168222
P256,98.575746,0.009210,0.171442
P256,99.392925,0.009260,0.399285
P256,96.976000,0.010780,0.252893
P256,97.350848,0.006600,0.185622
P256,97.406834,0.004851,0.125781
P256,97.243501,0.007130,0.172161
P256,97.715379,0.019670,0.171832
P256,97.180642,0.010300,0.169942
P256,98.036180,0.009850,0.182552
P256,97.613332,0.008031,0.171741
P256,97.039349,0.005250,0.161282
P256,97.416575,0.007530,0.210702
P256,98.019342,0.013000,0.158782
P256,97.245580,0.008330,0.185002
P256,97.620577,0.009970,0.258681
P256,98.920634,0.006090,0.158662
P256,98.042022,0.011020,0.214922
P256,98.838248,0.009370,0.178732
P256,96.501059,0.007560,0.138582
P256,97.981562,0.007510,0.185372
P256,97.629577,0.009370,0.174062
P256,97.231992,0.012220,0.231083
P256,98.702499,0.010930,0.181681
P256,97.027279,0.010230,0.185171
P256,96.880190,0.011870,0.226802
P256,97.138131,0.009310,0.168112
P256,97.383347,0.008530,0.163512
P256,97.274311,0.009881,0.219822
P256,97.174613,0.008310,0.185882
P256,96.974771,0.009810,0.189321
P256,97.115441,0.008650,0.173892
P256,97.008472,0.006930,0.136882
P256,98.335716,0.009060,0.186022
P256,99.035563,0.009370,0.178962
P256,98.079824,0.010080,0.199362
P256,98.255307,0.008550,0.414265
P256,96.585388,0.008880,0.176492
P256,97.365174,0.004790,0.155481
P256,97.938713,0.009950,0.174192
P256,99.329576,0.011131,0.134151
P256,98.100974,0.010410,0.171920
P256,98.192615,0.008180,0.177132
P256,97.158342,0.007790,0.150781
P256,97.730482,0.012440,0.384334
P256,97.077993,0.013170,0.238832
P256,97.109263,0.009380,0.189312
P256,97.508608,0.010220,0.237703
P256,97.069790,0.005960,0.144271
P256,99.481806,0.009380,0.185402
P256,97.391506,0.010560,0.212112
P256,97.355048,0.009140,0.176342
P256,97.008363,0.008860,0.132482
P256,97.088095,0.009550,0.175262
P256,97.244330,0.009820,0.190392
P256,97.241596,0.009440,0.474885
P256,97.159174,0.005390,0.182112
P256,97.549899,0.007910,0.223151
P256,96.861459,0.010080,0.214901
P256,97.471455,0.009450,0.166382
P256,96.924632,0.010500,0.211612
P256,97.337712,0.010470,0.179042
P256,96.888917,0.008900,0.175112
P256,97.253231,0.009371,0.365464
P256,97.459938,0.010590,0.219423
P256,97.973286,0.008120,0.206252
P256,97.378797,0.008421,0.175722
P256,98.162976,0.009420,0.194962
P256,96.987153,0.006720,0.197772
P256,96.594099,0.007790,0.141441
P256,98.178008,0.009150,0.184412
P256,97.024740,0.012660,0.170072
P256,97.280087,0.010230,0.188982
P256,97.311578,0.010430,0.201883
P256,98.645612,0.007950,0.205853
P256,96.826618,0.008730,0.185912
P256,98.065154,0.009041,0.196662
P256,98.853093,0.008750,0.231232
P256,98.047235,0.014450,0.202182
P256,97.049744,0.006830,0.327893
P256,97.381937,0.006810,0.172750
P256,96.948144,0.009090,0.188153
P256,98.123126,0.010600,0.201922
P256,97.774689,0.009160,0.176401
P256,97.997284,0.011201,0.204631
P256,97.275417,0.009550,0.212742
P256,97.487679,0.009730,0.193142
P256,97.208517,0.009110,0.222293
P256,97.153885,0.010730,0.124061
P256,97.457667,0.009220,0.153942
P256,97.494110,0.008570,0.215692
P256,97.030004,0.011500,0.207543
P256,96.904653,0.007140,0.160891
P256,98.068434,0.009490,0.221251
P256,97.217339,0.010940,0.208962
P256,98.086866,0.010110,0.424555
P256,97.569740,0.010381,0.174482
P256,98.106166,0.008370,0.235372
P256,96.929883,0.006170,0.124642
P256,97.349468,0.009320,0.143092
P256,97.870431,0.008590,0.150492
P256,98.040550,0.010960,0.179302
P256,96.909864,0.008580,0.249173
P256,97.297101,0.007180,0.345404
P256,97.153877,0.004350,0.164612
P256,96.823461,0.009700,0.165642
P256,98.123230,0.010410,0.154892
P256,97.579891,0.008040,0.142722
P256,97.764293,0.008320,0.153281
P256,99.545917,0.011040,0.165362
P256,98.414204,0.010040,0.213462
P256,98.008925,0.008640,0.171322
P256,97.789181,0.007740,0.164002
P256,97.940429,0.008420,0.153972
P256,97.384844,0.009920,0.158261
P256,96.959762,0.009370,0.173992
P256,97.749023,0.010080,0.195062
P256,98.979376,0.008830,0.178782
P256,97.748463,0.008910,0.175511
P256,97.996161,0.009310,0.155152
P256,96.808582,0.009399,0.182072
P256,97.892345,0.009940,0.185663
P256,96.908383,0.008630,0.166902
P256,97.354179,0.010200,0.207422
P256,97.785654,0.008180,0.355304
P256,99.409248,0.009161,0.164922
P256,98.602510,0.011120,0.200863
P256,96.834540,0.006910,0.165962
P256,96.901003,0.009060,0.205011
P256,97.585961,0.014140,0.168052
P256,97.024826,0.010360,0.180862
P256,96.959306,0.008940,0.149822
P256,97.691883,0.009250,0.160092
P256,96.864993,0.009060,0.180852
P256,97.872784,0.008460,0.167102
P256,96.956826,0.005230,0.157252
P256,96.867883,0.011700,0.135902
P256,97.933164,0.008780,0.409675
P256,97.976656,0.009810,0.186872
P256,96.884685,0.007710,0.150542
P256,99.180648,0.008730,0.172252
P256,98.006252,0.009390,0.168772
P256,97.162767,0.009841,0.207383
P256,96.541461,0.009460,0.226663
P256,97.838244,0.009880,0.180722
P256,97.895705,0.008400,0.193783
P256,97.701783,0.007150,0.143992
P256,96.988255,0.004560,0.147032
P256,97.874144,0.008440,0.212541
P256,97.389447,0.008580,0.184962
P256,96.454010,0.008990,0.138461
P256,98.084956,0.010040,0.186691
P256,97.402758,0.009670,0.162012
P256,97.194835,0.009040,0.189742
P256,98.716354,0.008420,0.159322
P256,96.951254,0.010660,0.190972
P256,97.473800,0.012640,0.182462
P256,97.189998,0.009940,0.190982
P256,98.208768,0.008950,0.211432
P256,97.729746,0.213103,0.179192
P256,96.716923,0.008430,0.191572
P256,98.801005,0.008370,0.182342
P256,97.119791,0.009140,0.187762
P256,97.184350,0.010880,0.161362
P256,97.440390,0.004690,0.145022
P256,97.794404,0.009480,0.381864
P256,97.430700,0.008660,0.169042
P256,96.619670,0.012780,0.192422
P256,97.966866,0.011780,0.199593
P256,97.649351,0.008201,0.150271
P256,99.220601,0.009571,0.171672
P256,97.597320,0.007420,0.181812
P256,97.753184,0.009880,0.176752
P256,96.861494,0.007030,0.175062
P256,97.983216,0.008920,0.185872
P256,97.127877,0.007680,0.138202
P256,97.479133,0.008660,0.214732
P256,96.751622,0.006570,0.153142
P256,98.074866,0.009860,0.163592
P256,97.545601,0.007890,0.187392
P256,97.216638,0.011940,0.225972
P256,97.533731,0.009660,0.170062
P256,97.795205,0.009070,0.187812
